discussion,role
Расходы по командировке ,1
Договор между ИП и физ лицом усн Упрощенная система управления ,1
Авансовые платежи по налогу на прибыль ,1
Поступление оборудования ,1
Вопрос от начинающего бухгалтера ,1
Пропорция распределения вычета в 1С? ,1
НДС с авансов и отгрузок по разным договорам одного заказчика ,1
Отпускные в марте ,1
Заявление о подтверждении деятельности ФСС ,1
"УСН. Налоговые каникулы, заполняется ли строка 280 (минимальный доход) ",1
Исправление реализации в 1С корректировка НДС в декларации ,1
Распеределение взносов при совмещении УСН 6 % и ЕНВД ,1
Учет обязательного экземпляра ,1
Нет возможности отправить РСВ по СБИСу ,1
Вычет на детей (два работодателя) ,1
Требование о предоставлении списка имущества для возможных обеспечительных мер в будущем ,1
Касса ОП и зарплата директору ,1
Доплата страховых взносов ,1
Вычет НДС реклама на Фэйсбук ,1
Ндфл за арендодателя ,1
Начисление зарплаты в бюджетной организации при суммированном учете рабочего времени ,1
Реестр таможенных деклараций ,1
Формирую отчет УСН (доходы) сумма не полностью попадает в расходы усн Упрощенная система управления ,1
ККТ при удержании из заработной платы ,1
"Услуги без актов, возможно? ",1
Покупка и продажа автомобиля ООО УСН 15% ,1
Ошибка в ставке НДС при продаже через агента ,1
Консервация ,1
Перерасчет по отпуску из-за больничного в 6-НДФЛ ,1
Решение суда как отразить? ,1
Начисление взносов и ндфл с подотчетника ,1
Списание задолженности по оплате доли в ООО ,1
Уменьшение налога ЕНВД на взносы в фикс.размереё ,1
1С:БизнесСтарт и сторонняя он-лайн касса. Проводки в программе. Помогите! ,1
Авансы по НДС в переходный период ,1
ООО УСН (доходы - расходы) в системе ОМС ,1
"ИП на УСН, авнсовые оплаты от покупателя на НДС, отгрузка с НДС, счет-фактуры ",1
Смена деятельности на оказание услуг по перевозки ж/д транспортом ,1
Стат.форма перемещения товаров ,1
Оквэд ,1
Шторы & ателье . Какой применить спецрежим? ,1
Не распределяет НДС 1С 8.3 ,1
"Переход с 1С 7,7 ТиС на 1с 8,3 Розница 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Восстановление НДС ,1
НДФЛ и согласие на обработку персональных данных ,1
Вопрос по расчету пособия БиР после отпуска до 1.5 и работы на неполный день ,1
Продажа товара на территории РФ иностранцу (не для вывоза за границу) Что у нас с налогами? ,1
3-НДФЛ по ИП за 2018 год (авансовые платежи) ,1
Дата перехода права собственности экспорт ,1
Исправление ошибки по неверно применяемой ставке нерезиденту по НДФЛ ,1
Автоматизированная система для БСО в деятельности ломбардов ,1
ИП 6 усн доходы ,1
Возмещение расходов в ФСС заполнение приложений к заявлению ,1
Обособленное подразделение на земельном участке сельхоз. назначения. ,1
"Пришло по ТКС ""Уведомление о новом порядке применения контрольно-кассовой техники"" ",1
Взнос в УК товара ,1
6-НДФЛ (аренда помещение у физика) ,1
Корректировочные счет-фактуры вопрос применения ,1
НДС КВО отгрузка после аванса ,1
Заполнение Приложения 4 к Листу 02 в нулевой декларации по НП за 1 квартал 2019 г ,1
Ошибка в выборе способа оплаты ,1
Аптека - режим налогообложения? ЕНВД? в Спб ,1
Разные счета в одном договоре и сф на аванс ,1
Галочка: поставщик по договору предъявляет ндс ,1
Расторжение договора ,1
Непонятные требования по декларациям ЕНВД за 4 кв 2018 ,1
Как в Расчете по страховым взносам за 1 кв 19г показать задолженность за ФСС за 2018г? ,1
Не выгружаются доп листы в декларацию по НДС ,1
Кассовая техника для ИП ,1
Крик души. ООО выплата дивидендов или как вывести легально доходы ,1
Переплата по ЕНВД ,1
"УТ 10.3 ошибка при проведении документа, ограничение прав ",1
ЭДО с контрагентами (Контур) ,1
Книга доходов и расходо УСН 6% ,1
Переходящий отпуск в расходах по налогу на прибыль ,1
"По декларации НДС за 1 кв получается сумма налога к возмещению, что делать? ",1
Переуступка долга ,1
Запрос от налоговой документов на транспортировку товаров ,1
Как можно скорректировать 76.АВ ,1
ИП на УСН 6% без работников заполнение декларации (как учесть взносы в 1С) ,1
РСВ не попадают пособия за счет ФСС ,1
Возмещение НДС с полученного аванса ,1
Соглашение об отступном: НДС? ,1
Изменение ставки НДС в Бухгалтерии ,1
Счет-фактура и акт не приняты в нужном периоде ,1
Дебиторская/кредиторская задолженность ,1
"Расшифровка расходов в декларации по налогу на прибыль за 2018 год: как уточнить отчетность, если прямые расходы были учтены как косвенные? ",1
Возврат 3-НДФЛ ,1
Транспортный налог и Платон 2018 ,1
Экспорт леса в Финляндию ,1
Учет затрат ,1
Новая форма по НДС ,1
"РСВ, надо ли выделять патент? ",1
ИП просит другое ИП принять денежные средства от покупателя на рс по дов. письму ,1
Отчет 4-ФСС и неправильная зарплата ,1
Переезд 51 ИФНС Москва ,1
Займы ,1
Налоговая отказывает в вычете на покупку ккт по ЕНВД. Кто сталкивался? ,1
Налог на имущество с неотделимых улчшений в арендованное помещение ,1
Возврат товара ,1
Онлайн-касса и пропавший чек ,1
ОСНО: что сдаем за 2018 год ,1
Отпуск с последующим увольнением ,1
"Среднесписочная численность в расчете ССЧ, в 4-ФСС и едином расчете ",1
Уставный капитал и ВЗНОС на развитие предприятия ,1
Оплата труда водителя при разъездном характере работы ,1
Продажа физлицу товара через р/с ,1
Адрес для отправки отчетности в 29 ,1
"Налог на имущество в 2019 - имущество недвижимое, но не здание / сооружение ",1
Ликвидатор - СЗВ-М и СЗВ-СТАЖ ,1
Заполнение счетов-фактур при Реализации услуг при через Обособленное Подразделение ,1
Требование из ИФНС усн Упрощенная система управления ,1
Социальный вычет на дорогостоящее протезирование зубов возможно получить? ,1
Подтверждение вида деятельности и оквэд на 2019 ,1
Розничная торговля в нежилом здании и система налогообложения ,1
Ошибка в учете ,1
Маркировка автошин ,1
Патент на проведение занятий по физкультуре и спорту и солярий ,1
Застрахованные в РСВ ,1
Налог на имущество юридических лиц в Москве ,1
Какие выплаты отражаются в лицевом счете сотрудника ,1
"Какую ставку налога на имущество применять при покупке организацией трактора у другой организации, в которой тот же директор? ",1
Нужно ли нотариально заверять доверенность на сдачу декларации ИП? ,1
УСН 15% кдир списание товара ,1
"Умер сотрудник, порядок выплаты причитающейся ему за месяц смерти зарплаты ",1
Утверждение годового отчета ,1
Как предъявить НДС с рекламы в Facebook ,1
Какой сервис подойдёт для производства? ,1
Сверка с налоговой - год на год не ложится ,1
Расходы с бизнес-карты ,1
40 и 43 счет ,1
Касса Атол Сигма 7 ,1
Командировка (счет расходов) ,1
"Имущественный вычет по процентам 3-ндфл ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Помогите посчитать пени ,1
Как считать возврат прихода на УСН 6% ? ,1
Востановление бух.учета или ввод остатков? ,1
Отчет принят. Требуется корректировка ,1
Расходы по УСН ,1
Акты и сч-ф по аренде 2018 г. в 2019 г ,1
Переход с УСН на ЕНВД ,1
На основании каких критериев Минсвязь оценивает «90% деятельности для ИТ компании» ,1
Возврат товара поставщику и зачет НДС по нему в 1м кв. 2019 г ,1
Сбой программы и лишняя выплата зарплаты ,1
НДС 18% или 20% ? ,1
Выгрузка Бухотчетности ,1
"Можно не сдавать уточненку по НДС, если переплатили налог? ",1
Приостановка операций рс сегодня на основании требования от 2013 ,1
Авансовый расчет по налогу на имущество ,1
"Обучение бухгалтера на участок ""Расчет зарплаты"" ",1
Не нашли себя в реестре субъектов малого предпринимательства ,1
Где купить ККТ и получит консультацию в СПБ ,1
Проверка ФХД за прошлый год продукты питания в бюджетном учреждении ,1
Помогите выплатить дивиденды учредителю директору ,1
ЕНВД и продажа товаров с маркировкой ,1
УСН 6% налог и участие в расчетах усн Упрощенная система управления ,1
ОСНО надо ли ,1
"Обезличенное ""требование"" налоговой ",1
Когда ждать налоговую проверку? ,1
Подскажите что значит эта цифра(думаю северный стаж) ,1
Возмещение НДС Налогоплательщик 3.0.9.1 пропала заполненная декларация ,1
Учет поступлений по эквайрингу при минимальном налоге ,1
Как в 1с 8.3 убрать ндс из возмещения и поставить к уплате ,1
Расходы без актов по электронному билету ,1
Вклад участника в отчете об изменении капитала ,1
Титульный лист Баланса за присоединенную компанию ,1
Внесение сведений в Кадастр отходом Московской области ,1
Перевод ден.средств с расчетного счета ИП на корпоративную карту ИП ,1
Изменение ставки НДС у поставщика в середине года ,1
Расхождение в 1 рубль между выручкой в декларациях по НДС и по налогу на прибыль: как поступить? ,1
Отчетность по НДФЛ за год при переходе в другую налоговую ,1
"НДФЛ при продаже жилого дома с ЗУ, можно ли применить и имущест. вычет и факт. расходы? ",1
Выплата дивидендов конечному бенефициару-нерезиденту ,1
Выставление счета-фактуры на аванс если оплата произошла после отгрузки ,1
"Может ли ИП вернуть наличными заем, полученный на расчетный счет? ",1
Временные разницы. Определение нераспределенной прибыли за год ,1
Комиссия за перевод денежных средств физлицам ,1
Услуги по лесоустройству ,1
НД по УСН в НКО Д-Р ,1
Вложения во внеоборотные активы ,1
Не платили авансы в 2018 УСН Д-Р ,1
Принятие к расходам УСН аренду облачной 1С ,1
Как проверить расходы по УСН ,1
Реестры ставка НДС 0 % ,1
Кредиторская задолженность ,1
ООО - продажа помещения на УСН-15% ,1
"Выход участника из ооо-от какой доли платить НДФЛ получившему долю? ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
Вычет НДФЛ при покупке квартиры учитывается за весь прошедший год или с момента покупки ,1
"ИП оплатил за ООО, оба хотят ""забыть"" платеж. Какие риски? ",1
"Как учесть приобретение ГСМ по безналу без талонов, счет-фактуры и договора с АЗС ",1
Пилотный проект ФСС ,1
Докомплектация реализованного товара ,1
"Перечисление НДФЛ ""месяц в месяц"" ",1
Как сдать справку 2-НДФЛ при смене КПП в середине года ,1
Арендованные ОС в книге ДиР при усн ,1
"Продажа доли ООО ндфл Налог на доходы физических лиц - обязательный, индивидуально безвозмездный платеж, взимаемый с физических лиц за счет принадлежащих им денежных средств в целях финансового обеспечения деятельности государства. ",1
"Друзья, помогите составить правильный ответ на Уведомление о необходимости приведения самостоятельной оценки рисков налогоплательщика ",1
Требование на уплату налога при отсутствии задолженности ,1
Уволенные иностранцы в РСВ ,1
Резерв по сомнительным долгам ,1
Отчётность усн Упрощенная система управления ,1
Как уменьшить остаточную стоимость ,1
"ФСС отказал в возмещении, но потом возместил половину ",1
Новый инструмент на Клерк.ру - мониторинг перечней статотчётности ,1
Производство поддонов и патент ,1
Учет в строительстве ,1
Расходы при усн на с 2018г перенести на 2019г ,1
"Можно избежать штраф за несвоевременно поданные документы для пособия до 1,5 лет? ",1
Настройка бухгалтерского и налогового учета в 1с ,1
Больничный для работника потерявшего трудовую ,1
Кредиторка-дебиторка ,1
Скорректировать ОС в НУ ,1
Бухгалтерский баланс ,1
Обработка 1С 8.2 БУ для акта сверки Агента с ДИКСИ ЮГ кому нужна? ,1
Документ корректировка долга ,1
Заполнение декларации УСН Д-Р усн Упрощенная система управления ,1
Куда сдавать 6-ндфл Организации с ОП? ,1
Посоветуйте программу для учета товаров ,1
Поток и Альфа-банк ,1
Отражение новогодних подарков в 6-ндфл и 2-ндфл ,1
Вексель ,1
Резервы на отпуска в бухгалтерском учете ,1
Отрицательное сальдо по счету 67 и в балансе ,1
Бухгалтерская отчетность - ед.измерения? ,1
Отражение в бухгалтерском учете невыплаченных процентов по договору займа ,1
1С неправильно учитывает взносы при расчете налога ,1
В ОСВ по НУ нет равенства ,1
Ходатайство в ПФ по СЗВ-М ,1
НДС с аванса при переводе долга ,1
Аванс поставщику платит третье лицо ,1
Работник не снял с корпоративной карты суточные ,1
Вычет на приобретение ККТ на ПСН ,1
Отчет розничных продаж ,1
Анализ счетов 09 и 77 ,1
Налог на имущество за 2018г ,1
ИП на УСН(%) и ЕНВД ,1
Требования по встречке по ТКС простым письмом ,1
Списание кредиторской задолженности ликвидированного контрагента! ,1
Оплата дней по уходу за детьми-инвалидами ,1
Аренда квартиры сотруднику (Какой код дохода в справке 2-НДФЛ?) ,1
Расчет по страховым взносам. Возмещение расходов за 2017 год в 2018 г ,1
Уплата налога на прибыль ,1
Книга УСН ,1
Покупка у физ лица ,1
"Лизинг у лизингополучателя, не применяющего ПБУ 18/02 ",1
Комиссионная торговля торговый сбор ,1
УТ 11.4.7.114 пропал отдельный журнал возвратов покупателей и поставщикам ,1
Не возвращать НДС ,1
Как ИП вернуть на личный банковский счет покупателя оплату? ,1
Страховые взносы для уменьшения налога для ИП на УСНО ,1
Запрос налоговой ,1
Налог на прибыль обособленного подразделения ,1
"Отгрузка по 18%, оплата пришла 20% НДС ",1
НДФЛ при совмещении УСН и ЕНВД ,1
Штрихкодирование в 1С Розница ,1
Частичный прием справок 2-НДФЛ ,1
Аренда ККТ ,1
Уточненка по НДС с авансовой сч-ф к вычету ,1
Годовая декларация Налог на прибыль ,1
2ндфл по закрытому обособленному подразделению ,1
Не заполняется раздел 2. Налог на имущество ,1
Изменить цену в чеке на возврат 1С Розница ,1
Синхронизация Розницы и Бухгалтерии ,1
Недвижимость ОС или 08 счет ,1
Заявление на возврат через кассу ,1
Покупателю на УСН можно ли учесть себестоимость бонусного товара? ,1
Оплата льготного проезда ,1
Помогите выбрать УСН 6% или 15% для турагентства усн Упрощенная система управления ,1
Справка организации о непосредственной занятости в производстве с/х продукции ,1
Отчетность по ЕНВД ,1
Учредитель в ООО без оформления зарплаты ,1
Какова ответственность за несдачу баланса ООО на УСН 6%? ,1
Уменьшение налога при УСН на взносы если у ИП работник был 1 мес ,1
Информационно-правовая система - какая лучше? ,1
"В налорге нет данных по трудовым договорам иностранцев, работающих у нас на основании патента ",1
Не заполнен раздел стоимость в транспортной накладной ,1
Обособка - страховые взносы и ндфл ,1
Слетел ИП с патента ,1
Продажа товаров из Калининграда в РФ ,1
Перерегистрация ККТ ,1
В 1С 8.3 не учитываются авансовые платежи при расчете налога по УСН (15%) за 2018 год усн Упрощенная система управления ,1
"Спецрежим, такси и торговля на ярмарках, ""не родной"" регион ",1
"Должен ли бухгалтер сдавать отчеты, если срок их сдачи не приходится на оплаченный период обслуживания? ",1
Убытки прошлых лет (учёт и списание в последующие годы) ,1
Участник Сколково ,1
Погрузочные работы отдельной строкой в документах на отгрузку товара ,1
Правильно ли предоставлен вычет на ребенка? ,1
Помогите советом о Сведениях о среднесписочной численности ,1
Как поставить принятые услуги на расходы будущих периодов? ,1
Распределение зарплат сотрудников между УСН и ЕНВД ,1
Поменялось ли что для ИП на УСН 6 и 15 % в 19году? и разбитый 1% свыше 300 тыщ ,1
Вычет на ребенка от налогового агента + 3-НДФЛ на имущественный вычет ,1
Корректировка поставщика в 2019 году за 2018 ,1
Как пообщаться с ИФНС по телефону 88002222222 ,1
Смена ОКТМО без смены ИФНС прошу помочь ! ,1
Выплаты стимулирующего характера не сотрудникам предприятия ,1
"Коллеги, подскажите по поводу баланса за 2016 год ",1
Переход от одного оператора ТКС к другому ,1
Пояснения по НДС со странным основанием ,1
Перенос вычета НДС при раздельном учете ,1
Переплата по патенту ,1
Ип переводит на счет ооо ,1
"Сумма НДФЛ каждый месяц не совпадает 1руб, 1С ЗУП 8.3 ",1
Вычеты на детей ,1
Налог на имущество Санкт-Петербург ,1
Лимит для признания объекта основным средством ,1
УТ 11. формирование УПД для обособленного подразделения ,1
Опеределение действительной стоимости доли участника ,1
Рекламные услуги крупных торговых сетей ,1
Как в 1с Бухгалтерия загрузить декларацию по НДС из Налогоплательщика ЮЛ с последующей отправкой его в налоговую ,1
Кому нужна обработка выгрузки ЗИК 8.3 в БУ 8.2 (нужно тестить)? ,1
"Принятие к учету ОС, амортизационная премия ",1
Возврат переплаты по налогам в отчете о движении денежных средств ,1
"Бух.баланс: строка ""Выручка"" в отчете о фин.результатах ",1
"Экспорт импортируемого товара без завоза на склад в РФ вэд ВЭД (внешнеэкономическая деятельность) — это экономическая деятельность, которая связана с коммерческими сделками предприятий из разных стран. ",1
Освобождение от налога на имущество предприятий ,1
Затраты по зарплате и страховые взносы на 26 счете в торговой организации ,1
Транспортные услуги - оказание и получение ,1
Восстановление учета и отчетность ОСНО ,1
НД при УСН при смене юрадреса ,1
Заполнение НД по УСН ,1
Отчёт 2-НДФЛ за 2018 при смене юридического адреса ,1
УСН 6% подскажите как правильно налоги рассчитать? ,1
"Отдача от сайта, сеошники, продвиженцы и вот это вот все ",1
Маркировка обуви и онлайн-касса ,1
ИП ремонт оргтехники ,1
Ликвидация ООО. Вывод части уставного капитала ,1
патент или совмещение режимов ,1
Применение ККТ на транспорте ,1
Момент определения налоговой базы по НДС ,1
Прибыль.Проверка ,1
Транспортная накладная на перегон авто ,1
НД по УСН ,1
Корректировка в расчете по страховым ,1
Списать в расходы ,1
Закладная на недвижимость ,1
Мы оплатили физлицам за услуги. Мы должны за них платить налоги? ,1
Импорт. Начало ,1
Платежка на зп задвоилась ,1
Чек коррекции через тест драйвера ККТ - ошибка программирования реквизита 1173 ,1
Приобретение ПО ,1
6-НДФЛ Отчетность по обособленным подразделениям ,1
У вас выписке не появилось лишних пеней за НДФЛ? ,1
Как правильно учесть монтаж вентиляции и кондиционирования? ,1
Как учесть в налоговом учете строительство для собственных нужд? ,1
НДС на УСН ,1
НДС и инвестиционный контракт ,1
требование пояснений или пересдачи НДС -ошибка в номерах 2-х счф -поменялись местами ,1
Неустойка по суду ,1
Чеки коррекции ,1
Расчёт больничного при высокой зарплате ,1
ООО платит за физлицо - что из этого следует? ,1
"Импорт 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Смена деятельности компании в течение года (услуги - работа) ,1
Странная выписка из операций по расчетам с бюджетом ,1
Усн Д-Р - опоздали доходы))) ,1
"Индексация минимального пособия до 1,5лет в ЗУП 8.3 ",1
Не совпадение РАСХОДОВ по прибыли и НДС ,1
Списание авто после аварии - как отражается в декларации по налогу на прибыль ,1
Интенсивность процентом ,1
"Организация питания работников ""шведский стол"" ",1
Раздельный учет при экспорте несырьевых товаров ,1
Онлайн-касса у страховщиков ,1
Новая форма в налоговую? ,1
Платеж за контрагента в отчете о движении денежных средств ,1
А вы пробиваете чеки на зачет аванса? ,1
Требование пояснений за пределами срока КП ,1
Вопрос по декларации по налогу на прибыль ,1
Нужно ли уплатить налог при взыскании с физлица денежных средств в счет материального ущерба при совмещении ЕНВД и УСН? ,1
Чек при отгрузке товара ,1
Срок погашения ПНО по списанному РБП ,1
Фактическая или плановая себестоимость ,1
Переплата НДФЛ на конец года (нерезидент стал резидентом) ,1
Списание добавочного капитала: заполнение строки 2510 бухотчетности ,1
СЗВ-СТАЖ и РСВ ,1
Продажа и возврат товара в одном месяце ,1
Выписка операций по расчету с бюджетом ,1
Нюансы доходы-расходы ,1
Корректировка долга ,1
Путевой лист с учетом изменений Приказ Минтранса России от 21.12.2018 N 467 ,1
Требование по 93.1. хотят загадочное ,1
Заявление на возмещение НДС электронно ,1
Проблемы с НДС ,1
Пассажирские перевозки ,1
Убыток по итогам 2018 года. Как отразить в учете после сдачи баланса? ,1
Пояснение по отклонениям зарплаты по сравнению со среднеотраслевыми показателями ,1
Курсовая разница ,1
Годовая премия ,1
Возврат полученной суммы от физ. лица ,1
"НДС с в переходный период, нужно ли доплачивать 2% в бюджет ",1
СЗВ-СТАЖ и ГПХ ,1
Восстановление НДС при переходе на УСН ,1
Операция сторно накладной и счета фактуры при поступлении в 1кв 2018 ,1
Что с ней (с 1С) делать? ,1
Не пробили чек ,1
Уменьшение суммы ЕНВД на страховые взносы ,1
"Отчет по остаткам по складу с ЦЕНОЙ (1С БП 3.0) 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Поставка на учёт основных средств при реорганизации в форме присоединения ,1
Есхн 2019 ,1
Дробление бизнеса? ,1
"Бухотчетность малого предприятия формы 1 и 2, но не упрощённые ",1
СЗВ-М не сдана ,1
При суммированном рабочем времени можно устанавливать любой график? ,1
CЗВ-М штраф ,1
Что грозит организации на ОСНО за исправления в учете прошлых лет? ,1
Жилое помещение (квартира) для использования под офис ,1
Механизм взыскания непринятых к зачёту расходов по ВНиМ ,1
Займ учредителя на выдачу компенсации при увольнении и выдача денег из кассы минуя банк можно? ,1
Остаток вычета на ребенка на конец года ,1
Не проходили спецоценку- надо ли платить взносы по доп.тарифу? ,1
Название услуг в ККТ для туристического агентства ,1
СЗВ стаж ,1
Оплата медицинских услуг сур маме - НДФЛ ,1
Минимальный налог усн авансы за предыдущие периоды ,1
Вредный класс и доп. тариф ,1
Транспортный налог. Применение повышающего коэффициента ,1
Выплаты дохода физическому лицу НЕ сотруднику в 1с 8.3 ,1
Код вида операции при неподтвержденном экспорте ,1
СЗВ-стаж и ЕРСВ должны ли совпадать данные по количеству человек? ,1
Как восстановить НДС при экспорте в ЕАЭС после подтверждения ставки 0%? ,1
Оборот по Д-ту сч. 91.09 отрицательная сумма ,1
СЗВ-М Иностранец на патенте ,1
Оплата части договора поставщику на счет приставов ,1
Возмещение НДФЛ иностранцу ,1
Замена онлайн ккт на новую: причина ,1
"Книги покупок, продаж в 1С Бухгалтерии 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Коды МКС и РКС в 1С ЗУП ,1
Что распечатывать по учету зарплаты ,1
"Начисление дополнительного отпуска 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
Вы читали о новшестве? ,1
ДЛОТПУСК в 1С ЗУП ,1
Как показать внешнего совместителя в СЗВ стаж 2018 ,1
Поставщик выставил сч-ф. от 28.01.19 со ставкой 18% и думает что он прав ,1
Штраф по 6-НДФЛ ,1
Проценты по договору займа ,1
Авансовый отчет с оплатой скидкой по карте ,1
Резерв сомнительных долгов ,1
"Признаки деятельности организации, надо ли делать выплаты единственному работнику, если он в неоплачиваемом отпуске ",1
2НДФЛ реестр справок 2019 или 2014года ,1
"Адрес склада в графе ""Грузоотправитель"" ",1
Теперь сравнивают деклу по УСН ИП и персонифицированные данные ,1
Бой товара на складах в реализацию ,1
РСВ за 4 кв 2018г. - массовый отказ в приеме деклараций ,1
Учет расходов на ремонт систем вентиляции и канализации при УСН ,1
"Расчет отпуска в предыдущем месяце, отпуск в начале месяца ",1
УСН Д-Р и результаты инвентаризации ,1
"Нет выручки, на каком счете учитывать расходы ",1
"Cвод отчетов по сети, штатам и контрагентам ",1
УСН курсовые разницы и КУДиР усн Упрощенная система управления ,1
Очередное ЧП с личными кабинетами налоговой ,1
Суточные ,1
Отрицательный протокол о приеме РСВ за 4 квартал 2018 ,1
"Пилотный ФСС. Увольнение в отпуске по уходу до 1,5 лет ",1
Внятная инструкци по переносу данных из УТ8.3 в УТ 8.3 ,1
По какой ставке поставщик должен начислить НДС при возврате покупателю предоплаты в 2 ,1
Куда платить патент ИП при смене налоговой? ,1
Как заполнить форму МП (микро)? ,1
Добровольная уплата штрафа за несвоевременное представление РСВ ,1
"Предоставление займа учредителем для своего ООО, какие оформить проводки ",1
Заказали отчет товара по рынку! (Цена более 40т.р.)основное средство? ,1
Почасовая аренда учебного зала ,1
Акт по камеральной проверке по ТКС ,1
Учёт стоимости сайта в благотворительном фонде ,1
Восстановление НДС по ОС при переходе на УСН ,1
Оплата векселем ,1
Покупка организацией квартиры ,1
Приобретение дебиторской задолженности по договору цессии ,1
3-ндфл и подарок ,1
Путевка сотруднику и членам его семьи за границу ,1
Переплата по налогам и пени ,1
Бухгалтерские проводки по договору цессии у цессионария ,1
Красное отрицательное сальдо по дебету 60.02 ,1
Документ не является фискальным ,1
Иностранное представительство ,1
НДС уточненка авансовый сч-ф к вычету ,1
Вычет на ребенка ,1
"Возврат ТМЦ, числящегося на забалансе ",1
Штраф по НДФЛ ,1
Дата выставления УПД ,1
Мат помощь родственникам в связи со смертью бывшего сотрудника ,1
Требование на физ лицо (участник) ,1
Сзв-стаж ,1
"УСН и неисключительные права на 1с 1с «Фирма 1С» — российская компания, занимающаяся разработкой, изданием и поддержкой компьютерных программ, баз данных делового и домашнего назначения, а также компьютерных игр. Организационно-правовая форма: общество с ограниченной ответственностью.  ",1
2НДФЛ на уволенного и вновь принятого сотрудника ,1
Как исправить предыдущие балансы? Уточненка или нет? ,1
Стоимость ОС в расходы УСН усн Упрощенная система управления ,1
